Event Name,Description,Category,30 Day Volume,30 Day Queries,Platforms,Libraries,First Seen,Last Seen,Properties
App,,,39,0,Web,"amplitude-js/3.4.0, http/1.0",2017-05-06T00:00:00+00:00,2018-02-27T19:10:19.456357+00:00,app
,,,,,,,,,dealer
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,logType
,,,,,,,,,msg
,,,,,,,,,title
,,,,,,,,,trackId
,,,,,,,,,type
App: Browser Exit,,,3609,0,Web,http/1.0,2017-10-03T21:55:38.238000+00:00,2018-02-27T20:52:15.215756+00:00,abTestGroup
,,,,,,,,,aggregator
,,,,,,,,,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,consumerFlowVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,panelHeader
,,,,,,,,,price
,,,,,,,,,source
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vehicleAge
,,,,,,,,,vin
App: C&I: click: 2017 College Student Purchase Program,,,0,0,Web,http/1.0,2017-09-27T18:45:38.259000+00:00,2017-10-05T16:40:54.414000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
,,,,,,,,,loanAppId
,,,,,,,,,panel
,,,,,,,,,price
,,,,,,,,,state
,,,,,,,,,trackId
,,,,,,,,,vin
App: C&I: click: 2017 First Responder Bonus Cash,,,0,0,Web,http/1.0,2017-09-27T18:51:59.409000+00:00,2017-10-05T13:49:22.758000+00:00,appType
,,,,,,,,,buyNowVia
,,,,,,,,,checkoutScraperVersion
,,,,,,,,,checkoutUiVersion
,,,,,,,,,dealer
,,,,,,,,,defaultTab
,,,,,,,,,inStore
,,,,,,,,,isTestUser
